StudentNumber,Gender,Year,Semester,CourseCode,LetterGrade,TotalGrade,GradeonDiscussionForumAccumulatedpoints,GradeonDiscussionLeader,GradeonAssignment1,GradeonAssignment2,GradeonFinalPaper,TotalTimeStudentsspentinCourseonSundays,TotalTimeStudentsspentinCourseonMondays,TotalTimeStudentsspentinCourseonTuesdays,TotalTimeStudentsspentinCourseonWednesdays,TotalTimeStudentsspentinCourseonThursdays,TotalTimeStudentsspentinCourseonFridays,TotalTimeStudentsspentinCourseonSaturdays,TotalTimeStudentsspentinCourseinHours,AverageTimeinCourseinHours,TotalLogins,TotalitemsAccessed,TotaltimespentonAssignment1inHours,NumberofTimesAssignment1Accessed,TotaltimespentonAssignment2inHours,NumberofTimesAssignment2Accessed,TotaltimespentonAssignmentscontentfolderinHours,NumberofTimesAssignmentscontentfolderAccessed,TotaltimespentonFinalPaperinHours,NumberofTimesFinalPaperAccessed,TotaltimespentonReadingfortheCourse,NumberofTimesReadingforthecourseAccessed,TotaltimespentonWeek1Readingsinhrs,NumberofTimesWeek1RdgsAccessed,TotaltimespentonWeek2Readingsinhrs,NumberofTimesWeek2RdgsAccessed,TotaltimespentonWeek3Readingsinhrs,NumberofTimesWeek3RdgsAccessed,TotaltimespentonWeek4Readingsinhrs,NumberofTimesWeek4RdgsAccessed,TotaltimespentonWeek5Readingsinhrs,NumberofTimesWeek5RdgsAccessed,TotaltimespentonWeek6Readingsinhrs,NumberofTimesWeek6RdgsAccessed,TotaltimespentonWeek7Readingsinhrs,NumberofTimesWeek7RdgsAccessed,TotaltimespentonWeek8Readingsinhrs,NumberofTimesWeek8RdgsAccessed,TotaltimespentonWeek9Readingsinhrs,NumberofTimesWeek9RdgsAccessed,TotaltimespentonWeek10Readingsinhrs,NumberofTimesWeek10RdgsAccessed,TotaltimespentonSyllabusinhrs,NumberofTimesSyllabusAccessed,TotaltimespentonWeeklyContentinhrs,NumberofTimesWeeklyContentAccessed,TotaltimespentonWeeklyContentforWeeks9and10,NumberofTimesWeeklycontentwk9andwk10Accessed,TotalHitsonContentAreaApp,TotalHitsinsideContentAreas,HitsonContent,HitsonInformation,HitsonBboardHelp,HitsonAssignment,HitsonCourseResources,HitsonQuiz,HitsonSyllabus,HitsonDocuments,HitsonReadings,Hitsonbooks,HitsonEReserves,HitsonFinalPaper,HitsonMessages,HitsonFirstSteps,HitsonRoster,hitsonParticipation,HitsonSubmittingWork,HitsonWebLinksampother,HitsonTasks,HitsonWebSitesampother,HitsonStaffInformation,HitsonToolsAreaApp,TotalHitsonMyGradesApp,TotalHitsonAnnouncementApp,TotalHitsonDBApp,DBDiscussionLeaderSignupboardMFhits,DBGeneralQuestionsMFhits,DBIntroductionMFhits,DBWaterCoolerMFHits,DBWeek1MFhits,DBWeek2MFhits,DBWeek3MFhits,DBWeek4MFhits,DBWeek5MFhits,DBWeek6MFhits,DBWeek7MFhits,DBWeek8MFhits,DBWeek9MFhits,DBWeek10MFhits,TotalDBMFhits,DBDiscussionLeaderSignupboardNumberofposts,DBGeneralQuestionsNumberofposts,DBIntroductionNumberofposts,DBWaterCoolerNumberofposts,DBWeek1Numberofposts,DBWeek2Numberofposts,DBWeek3Numberofposts,DBWeek4Numberofposts,DBWeek5Numberofposts,DBWeek6Numberofposts,DBWeek7Numberofposts,DBWeek8Numberofposts,DBWeek9Numberofposts,DBWeek10Numberofposts,TotalNumberofDBposts,logtotaltimestudentspentincourse,ReflectlogGrades,LogGradeonDiscussLeader,sqrtgradeonasgnmt1,Loggradeonasgnmt2,LogTotalHitsonContentAreaApp,LogTotalHitsinsideContentAreas,loghitsonassignment,logthitsoncourseresources,loghitsonquiz,loghitsonsyllabus,loghitsondocuments,sqrthitsonweblinksandothers,LogHitsonWebsitesandOthers,SqrtHitsonStaffInformation,SqrtHitsonToolsAreaApp,SqrtTotalHitsonMyGradesApp,LogTotalHitsonAnnouncementApp,LogTotalHitsonDBApp,InvDB?GeneralQuestionsMFhits,SqrtDBIntroMFhits,LogDBWaterCoolerMFhits,LogDBWeek1MFhits,LogDBWeek2MFhits,LogDBWeek3MFhits,LogDBWeek4MFhits,LogDBWeek5MFhits,LogDBWeek6MFhits,LogDBWeek7MFhits,LogDBWeek8MFhits,LogDBWeek9MFhits,LogDBWeek10MFhits,LogTotalDBMFhits,InvDBGeneralQuestionsNumberofposts,InvDBWaterCoolerNumberofposts,LogDBIntroductionNumberofposts,LogDBWk1NumberofPosts,LogDBWk2NumberofPosts,LogDBWk3NumberofPosts,LogDBWeek4Numberofposts,LogDBWeek5Numberofposts,LogDBWeek6Numberofposts,LogDBWeek7Numberofposts,LogDBWeek8Numberofposts,LogDBWeek9Numberofposts,LogDBWeek10Numberofposts,LogTotalNumberofDBposts,StudentDuplicateCases
194,1,2014,Summer,8,,100,80,#NULL!,#NULL!,#NULL!,20,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,930,14,0,0,#NULL!,9,#NULL!,#NULL!,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,15,20,166,714,0,0,5,0,12,6,7,5,6,8,6,5,5,10,75,#NULL!,0,17,0,12,6,7,5,6,8,6,5,5,10,87,#NULL!,0,#NULL!,#NULL!,#NULL!,2.97,1.15,0.95,#NULL!,#NULL!,0.7,#NULL!,#NULL!,#NULL!,1,3.87,4.47,2.22,2.85,#NULL!,2.24,#NULL!,1.08,0.78,0.85,0.7,0.78,0.9,0.78,0.7,0.7,1,1.88,#NULL!,#NULL!,1.23,1.08,0.78,0.85,0.7,0.78,0.9,-0.11,0.7,0.7,1,1.94,1
197,2,2014,Summer,8,,96,80,#NULL!,#NULL!,#NULL!,16,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,406,6,0,0,#NULL!,4,#NULL!,#NULL!,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,78,322,0,1,6,0,6,5,5,6,6,7,5,6,3,7,63,#NULL!,1,15,0,6,5,5,6,6,7,5,6,3,7,72,#NULL!,0.7,#NULL!,#NULL!,#NULL!,2.61,0.78,0.6,#NULL!,#NULL!,0.3,#NULL!,#NULL!,#NULL!,0,0,0,1.89,2.51,1,2.45,#NULL!,0.78,0.7,0.7,0.78,0.78,0.85,0.7,0.78,0.48,0.85,1.8,1,#NULL!,1.18,0.78,0.7,0.7,0.78,0.78,0.85,-0.16,0.78,0.48,0.85,1.86,1
198,2,2014,Summer,8,,99,80,#NULL!,#NULL!,#NULL!,19,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,499,10,0,0,#NULL!,4,#NULL!,#NULL!,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,1,5,67,416,0,2,4,2,10,9,9,8,6,8,9,5,3,9,84,#NULL!,2,10,2,10,9,9,8,6,8,9,5,3,9,90,#NULL!,0.3,#NULL!,#NULL!,#NULL!,2.7,1,0.6,#NULL!,#NULL!,0.78,#NULL!,#NULL!,#NULL!,0,1,2.24,1.83,2.62,0.5,2,0.3,1,0.95,0.95,0.9,0.78,0.9,0.95,0.7,0.48,0.95,1.92,0.5,0.5,1,1,0.95,0.95,0.9,0.78,0.9,-0.02,0.7,0.48,0.95,1.95,1
200,2,2014,Summer,8,,92,77,#NULL!,#NULL!,#NULL!,15,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,531,28,0,0,#NULL!,15,#NULL!,#NULL!,13,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,29,23,102,348,0,0,2,0,7,5,4,5,4,6,6,3,7,7,56,#NULL!,0,7,0,6,5,4,5,4,6,6,3,7,7,60,#NULL!,0.95,#NULL!,#NULL!,#NULL!,2.73,1.45,1.18,#NULL!,#NULL!,1.11,#NULL!,#NULL!,#NULL!,1,5.39,4.8,2.01,2.54,#NULL!,1.41,#NULL!,0.85,0.7,0.6,0.7,0.6,0.78,0.78,0.48,0.85,0.85,1.75,#NULL!,#NULL!,0.85,0.78,0.7,0.6,0.7,0.6,0.78,-0.11,0.48,0.85,0.85,1.78,1
201,2,2014,Summer,8,,90,73,#NULL!,#NULL!,#NULL!,17,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,841,7,0,0,#NULL!,6,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,58,59,200,516,0,0,2,0,4,6,4,5,5,4,3,5,6,4,48,#NULL!,0,14,0,4,6,4,5,5,4,3,5,6,4,60,#NULL!,1.04,#NULL!,#NULL!,#NULL!,2.92,0.85,0.78,#NULL!,#NULL!,0,#NULL!,#NULL!,#NULL!,1,7.62,7.68,2.3,2.71,#NULL!,1.41,#NULL!,0.6,0.78,0.6,0.7,0.7,0.6,0.48,0.7,0.78,0.6,1.68,#NULL!,#NULL!,1.15,0.6,0.78,0.6,0.7,0.7,0.6,-0.32,0.7,0.78,0.6,1.78,1
202,1,2014,Summer,8,,80,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,940,17,0,0,#NULL!,11,#NULL!,#NULL!,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,29,27,179,684,0,0,3,5,7,10,5,7,9,9,7,7,8,8,85,#NULL!,0,3,5,7,10,5,7,9,9,7,7,8,8,85,#NULL!,1.32,#NULL!,#NULL!,#NULL!,2.97,1.23,1.04,#NULL!,#NULL!,0.78,#NULL!,#NULL!,#NULL!,2,5.39,5.2,2.25,2.84,#NULL!,1.73,0.7,0.85,1,0.7,0.85,0.95,0.95,0.85,0.85,0.9,0.9,1.93,#NULL!,0.2,0.48,0.85,1,0.7,0.85,0.95,0.95,-0.07,0.85,0.9,0.9,1.93,1
204,2,2014,Summer,8,,37,36.5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,482,14,0,0,#NULL!,12,#NULL!,#NULL!,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,17,77,374,0,0,1,0,1,3,3,2,3,2,3,2,4,2,26,#NULL!,0,5,0,1,3,3,2,3,2,3,2,4,2,30,#NULL!,1.81,#NULL!,#NULL!,#NULL!,2.68,1.15,1.08,#NULL!,#NULL!,0.3,#NULL!,#NULL!,#NULL!,0,0,4.12,1.89,2.57,#NULL!,1,#NULL!,0,0.48,0.48,0.3,0.48,0.3,0.48,0.3,0.6,0.3,1.41,#NULL!,#NULL!,0.7,0,0.48,0.48,0.3,0.48,0.3,-0.32,0.3,0.6,0.3,1.48,1
205,2,2014,Summer,8,,80,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1248,42,0,0,#NULL!,38,#NULL!,#NULL!,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,40,45,210,906,0,1,1,1,13,9,8,9,10,9,6,7,7,10,91,#NULL!,1,5,1,13,9,8,9,10,9,6,7,7,10,95,#NULL!,1.32,#NULL!,#NULL!,#NULL!,3.1,1.62,1.58,#NULL!,#NULL!,0.6,#NULL!,#NULL!,#NULL!,2.24,6.32,6.71,2.32,2.96,1,1,0,1.11,0.95,0.9,0.95,1,0.95,0.78,0.85,0.85,1,1.96,1,1,0.7,1.11,0.95,0.9,0.95,1,0.95,-0.11,0.85,0.85,1,1.98,1
206,2,2014,Summer,8,,93,74,#NULL!,#NULL!,#NULL!,19,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,339,20,0,0,#NULL!,13,#NULL!,#NULL!,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,3,5,72,239,0,0,1,0,8,5,4,3,5,6,6,5,5,9,57,#NULL!,0,6,0,8,5,4,3,5,6,6,5,5,9,62,#NULL!,0.9,#NULL!,#NULL!,#NULL!,2.53,1.3,1.11,#NULL!,#NULL!,0.85,#NULL!,#NULL!,#NULL!,0,1.73,2.24,1.86,2.38,#NULL!,1,#NULL!,0.9,0.7,0.6,0.48,0.7,0.78,0.78,0.7,0.7,0.95,1.76,#NULL!,#NULL!,0.78,0.9,0.7,0.6,0.48,0.7,0.78,-0.11,0.7,0.7,0.95,1.79,0
206,2,2014,Fall,20,,96,78,#NULL!,#NULL!,#NULL!,18,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,14,14,0,0,#NULL!,#NULL!,#NULL!,#NULL!,7,#NULL!,#NULL!,#NULL!,#NULL!,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,81,381,0,0,1,0,7,3,11,9,10,11,9,9,6,7,83,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,0.7,#NULL!,#NULL!,#NULL!,1.15,1.15,#NULL!,#NULL!,#NULL!,0.85,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.91,2.58,#NULL!,1,#NULL!,0.85,0.48,1.04,0.95,1,1.04,0.95,0.95,0.78,0.85,1.92,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1
207,2,2014,Summer,8,,94,75,#NULL!,#NULL!,#NULL!,19,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,300,8,0,0,#NULL!,2,#NULL!,#NULL!,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,61,231,0,0,1,2,5,6,5,4,2,4,5,9,4,6,53,#NULL!,0,8,2,5,6,5,4,2,4,5,9,4,6,60,#NULL!,0.85,#NULL!,#NULL!,#NULL!,2.48,0.9,0.3,#NULL!,#NULL!,0.78,#NULL!,#NULL!,#NULL!,0,0,0,1.79,2.36,#NULL!,1,0.3,0.7,0.78,0.7,0.6,0.3,0.6,0.7,0.95,0.6,0.78,1.72,#NULL!,0.5,0.9,0.7,0.78,0.7,0.6,0.3,0.6,-0.16,0.95,0.6,0.78,1.78,1
223,1,2014,Fall,11,,91,31,#NULL!,4,19,37,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,22,0,0,#NULL!,20,0,#NULL!,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,1,0,0,7,6,7,7,6,7,6,4,#NULL!,51,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,1,#NULL!,2,1.28,#NULL!,1.34,1.3,#NULL!,#NULL!,0.3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,0.85,0.78,0.85,0.85,0.78,0.85,0.78,0.6,#NULL!,1.71,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.85,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1
225,2,2014,Fall,9,A,99,39,10,10,10,30,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,108,110,0,0,0,43,#NULL!,#NULL!,8,#NULL!,#NULL!,4,5,8,#NULL!,28,#NULL!,8,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,161,661,0,2,12,3,17,20,11,5,12,15,14,13,10,11,145,#NULL!,2,12,3,17,20,11,5,12,15,14,13,10,11,145,#NULL!,0.3,1,3.16,1,2.03,2.04,1.63,#NULL!,#NULL!,0.9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.21,2.82,0.5,3.46,0.48,1.23,1.3,1.04,0.7,1.08,1.18,1.15,1.11,1,1.04,2.16,0.5,0.33,1.08,1.23,1.3,1.04,0.7,1.08,1.18,0.06,1.11,1,1.04,2.16,1
226,2,2014,Fall,9,A,97,38.75,10,10,10,28,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,73,74,0,0,0,37,#NULL!,#NULL!,7,#NULL!,#NULL!,3,8,7,#NULL!,12,#NULL!,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99,460,0,0,2,0,3,4,6,9,7,6,5,6,6,6,60,#NULL!,0,2,0,3,4,6,9,7,6,5,6,6,6,60,#NULL!,0.63,1,3.16,1,1.86,1.87,1.57,#NULL!,#NULL!,0.85,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,2.66,#NULL!,1.41,#NULL!,0.48,0.6,0.78,0.95,0.85,0.78,0.7,0.78,0.78,0.78,1.78,#NULL!,#NULL!,0.3,0.48,0.6,0.78,0.95,0.85,0.78,-0.16,0.78,0.78,0.78,1.78,1
227,1,2014,Fall,9,A-,92,35,10,10,10,27,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,31,33,0,0,0,16,#NULL!,#NULL!,2,#NULL!,#NULL!,0,1,8,#NULL!,2,#NULL!,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,44,168,0,0,0,0,9,7,9,2,4,2,4,4,4,2,47,#NULL!,0,0,0,9,7,9,2,4,2,4,4,4,2,47,#NULL!,0.98,1,3.08,1,1.49,1.52,1.2,#NULL!,#NULL!,0.3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.64,2.23,#NULL!,0,#NULL!,0.95,0.85,0.95,0.3,0.6,0.3,0.6,0.6,0.6,0.3,1.67,#NULL!,#NULL!,#NULL!,0.95,0.85,0.95,0.3,0.6,0.3,-0.22,0.6,0.6,0.3,1.67,0
228,1,2014,Fall,9,A,99,39.25,10,10,10,30,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,110,131,0,0,0,38,#NULL!,#NULL!,11,#NULL!,#NULL!,5,9,14,#NULL!,38,#NULL!,9,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,109,863,0,0,2,2,2,6,8,4,6,8,3,7,5,8,61,#NULL!,0,2,2,2,6,8,4,6,8,3,7,5,8,61,#NULL!,0.24,1,3.16,1,2.04,2.12,1.58,#NULL!,#NULL!,1.04,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.04,2.94,#NULL!,1.41,0.3,0.3,0.78,0.9,0.6,0.78,0.9,0.48,0.85,0.7,0.9,1.79,#NULL!,0.5,0.3,0.3,0.78,0.9,0.6,0.78,0.9,-0.32,0.85,0.7,0.9,1.79,1
